Judete,Ateliere
Alba,87
Arad,108
Arges,151
Bacau,104
Bihor,113
Bistrita-Nasaud,70
Botosani,83
Brasov,128
Braila,88
Buzau,48
Caras-Severin,90
Calarasi,52
Cluj,230
Constanta,115
Covasna,97
Dambovita,79
Dolj,163
Galati,95
Giurgiu,21
Gorj,92
Harghita,117
Hunedoara,117
Ialomita,56
Iasi,258
Ilfov,17
Maramures,107
Mehedinti,49
Mures,103
Neamt,100
Olt,70
Prahova,156
Satu Mare,76
Salaj,69
Sibiu,148
Suceava,118
Teleorman,45
Timis,193
Tulcea,37
Vaslui,77
Valcea,61
Vrancea,52
Municipiul Bucuresti,416
